domain,family,latest_rulepack_version_on_disk,latest_rulepack_file_on_disk,all_versions_on_disk,official_in_v210_manifest,official_v210_version,official_v210_rule_count,official_v210_file,status_label,latest_summary_file,latest_total_hits,latest_matched_hits,latest_coverage_fraction
43fc98,43fc,148,master_rallye_ps2_rulepack_43fc98_v148.json,148,True,148,9,master_rallye_ps2_rulepack_43fc98_v148.json,official_checkpoint_member,v148_cov_43fc98/summary.txt,163,163,1.0
43fc9a,43fc,149,master_rallye_ps2_rulepack_43fc9a_v149.json,149,True,149,15,master_rallye_ps2_rulepack_43fc9a_v149.json,official_checkpoint_member,v149_cov_43fc9a/summary.txt,104,104,1.0
43fc9b,43fc,159,master_rallye_ps2_rulepack_43fc9b_v159.json,"158,159",True,159,16,master_rallye_ps2_rulepack_43fc9b_v159.json,official_checkpoint_member,v159_cov_43fc9b/summary.txt,,61,
43fc9d,43fc,211,master_rallye_ps2_rulepack_43fc9d_v211.json,"165,166,211",True,166,7,master_rallye_ps2_rulepack_43fc9d_v166.json,official_checkpoint_member,v211_cov_43fc9d/summary.txt,41,41,1.0
43fca1,43fc,200,master_rallye_ps2_rulepack_43fca1_v200.json,200,True,200,5,master_rallye_ps2_rulepack_43fca1_v200.json,official_checkpoint_member,v200_cov_43fca1/summary.txt,25,25,1.0
43fcba,43fc,206,master_rallye_ps2_rulepack_43fcba_v206.json,"205,206",True,206,4,master_rallye_ps2_rulepack_43fcba_v206.json,official_checkpoint_member,v206_cov_43fcba/summary.txt,19,19,1.0
43fcc7,43fc,164,master_rallye_ps2_rulepack_43fcc7_v164.json,"163,164",True,164,10,master_rallye_ps2_rulepack_43fcc7_v164.json,official_checkpoint_member,v164_cov_43fcc7/summary.txt,44,44,1.0
43fccc,43fc,208,master_rallye_ps2_rulepack_43fccc_v208.json,208,True,208,4,master_rallye_ps2_rulepack_43fccc_v208.json,official_checkpoint_member,v208_cov_43fccc/summary.txt,20,20,1.0
43fcce,43fc,191,master_rallye_ps2_rulepack_43fcce_v191.json,"190,191",True,191,6,master_rallye_ps2_rulepack_43fcce_v191.json,official_checkpoint_member,v191_cov_43fcce/summary.txt,23,23,1.0
43fcf6,43fc,202,master_rallye_ps2_rulepack_43fcf6_v202.json,"201,202",True,202,6,master_rallye_ps2_rulepack_43fcf6_v202.json,official_checkpoint_member,v202_cov_43fcf6/summary.txt,24,24,1.0
43fcfb,43fc,193,master_rallye_ps2_rulepack_43fcfb_v193.json,"192,193",True,193,16,master_rallye_ps2_rulepack_43fcfb_v193.json,official_checkpoint_member,v193_cov_43fcfb/summary.txt,40,40,1.0
43fcfd,43fc,175,master_rallye_ps2_rulepack_43fcfd_v175.json,175,True,175,7,master_rallye_ps2_rulepack_43fcfd_v175.json,official_checkpoint_member,,,,
43fcfe,43fc,199,master_rallye_ps2_rulepack_43fcfe_v199.json,"198,199",True,199,8,master_rallye_ps2_rulepack_43fcfe_v199.json,official_checkpoint_member,v199_cov_43fcfe/summary.txt,28,28,1.0
